task_id,split,dimension,model,score,cost_usd,total_tokens,latency_ms
dim1_humaneval_HumanEval_51,val,code_generation,claude-opus-4-6,0.0,0.0,203,2245
dim1_humaneval_HumanEval_51,val,code_generation,claude-sonnet-4-6,1.0,0.0,226,2384
dim1_humaneval_HumanEval_51,val,code_generation,gpt-5.4,1.0,0.0,288,3869
dim1_humaneval_HumanEval_51,val,code_generation,glm-5,1.0,0.0,779,16561
dim1_humaneval_HumanEval_51,val,code_generation,kimi-k2.5,1.0,0.0,195,2675
dim1_humaneval_HumanEval_51,val,code_generation,MiniMax-M2.7,1.0,0.0,666,8285
dim1_humaneval_HumanEval_51,val,code_generation,Qwen3-Max,1.0,0.0,191,2057
dim1_humaneval_HumanEval_51,val,code_generation,qwen3.5-plus,1.0,0.0,2172,36045
dim1_bcb_BigCodeBench/767,train,code_generation,claude-opus-4-6,1.0,0.0,235,2984
dim1_bcb_BigCodeBench/767,train,code_generation,claude-sonnet-4-6,1.0,0.0,234,3983
dim1_bcb_BigCodeBench/767,train,code_generation,gpt-5.4,1.0,0.0,213,2597
dim1_bcb_BigCodeBench/767,train,code_generation,glm-5,1.0,0.0,2069,56304
dim1_bcb_BigCodeBench/767,train,code_generation,kimi-k2.5,0.0,0.0,214,3839
dim1_bcb_BigCodeBench/767,train,code_generation,MiniMax-M2.7,0.0,0.0,990,13086
dim1_bcb_BigCodeBench/767,train,code_generation,Qwen3-Max,1.0,0.0,208,4285
dim1_bcb_BigCodeBench/767,train,code_generation,qwen3.5-plus,1.0,0.0,2249,39151
dim1_mbpp_760,train,code_generation,claude-opus-4-6,0.0,0.0,208,4511
dim1_mbpp_760,train,code_generation,claude-sonnet-4-6,0.0,0.0,92,2091
dim1_mbpp_760,train,code_generation,gpt-5.4,0.0,0.0,81,1643
dim1_mbpp_760,train,code_generation,glm-5,0.0,0.0,954,22242
dim1_mbpp_760,train,code_generation,kimi-k2.5,0.0,0.0,79,1718
dim1_mbpp_760,train,code_generation,MiniMax-M2.7,0.0,0.0,330,4344
dim1_mbpp_760,train,code_generation,Qwen3-Max,0.0,0.0,78,1382
dim1_mbpp_760,train,code_generation,qwen3.5-plus,0.0,0.0,4305,71912
dim1_bcb_BigCodeBench/976,train,code_generation,claude-opus-4-6,0.0,0.0,509,5571
dim1_bcb_BigCodeBench/976,train,code_generation,claude-sonnet-4-6,0.0,0.0,538,4316
dim1_bcb_BigCodeBench/976,train,code_generation,gpt-5.4,0.0,0.0,414,4240
dim1_bcb_BigCodeBench/976,train,code_generation,glm-5,0.0,0.0,3075,68939
dim1_bcb_BigCodeBench/976,train,code_generation,kimi-k2.5,0.0,0.0,421,10617
dim1_bcb_BigCodeBench/976,train,code_generation,MiniMax-M2.7,0.0,0.0,4574,60973
dim1_bcb_BigCodeBench/976,train,code_generation,Qwen3-Max,0.0,0.0,401,8520
dim1_bcb_BigCodeBench/976,train,code_generation,qwen3.5-plus,0.0,0.0,1301,15607
dim1_bcb_BigCodeBench/974,train,code_generation,claude-opus-4-6,1.0,0.0,333,3520
dim1_bcb_BigCodeBench/974,train,code_generation,claude-sonnet-4-6,1.0,0.0,348,3243
dim1_bcb_BigCodeBench/974,train,code_generation,gpt-5.4,1.0,0.0,267,4961
dim1_bcb_BigCodeBench/974,train,code_generation,glm-5,1.0,0.0,1953,44440
dim1_bcb_BigCodeBench/974,train,code_generation,kimi-k2.5,1.0,0.0,282,5936
dim1_bcb_BigCodeBench/974,train,code_generation,MiniMax-M2.7,1.0,0.0,2046,29591
dim1_bcb_BigCodeBench/974,train,code_generation,Qwen3-Max,1.0,0.0,272,5695
dim1_bcb_BigCodeBench/974,train,code_generation,qwen3.5-plus,1.0,0.0,3184,57271
dim1_mbpp_20,train,code_generation,claude-opus-4-6,0.0,0.0,370,5997
dim1_mbpp_20,train,code_generation,claude-sonnet-4-6,0.0,0.0,964,12472
dim1_mbpp_20,train,code_generation,gpt-5.4,0.0,0.0,95,3133
dim1_mbpp_20,train,code_generation,glm-5,0.0,0.0,3529,86728
dim1_mbpp_20,train,code_generation,kimi-k2.5,0.0,0.0,198,8073
dim1_mbpp_20,train,code_generation,MiniMax-M2.7,0.0,0.0,661,8313
dim1_mbpp_20,train,code_generation,Qwen3-Max,0.0,0.0,113,3592
dim1_mbpp_20,train,code_generation,qwen3.5-plus,0.0,0.0,4233,82657
dim1_humaneval_HumanEval_61,train,code_generation,claude-opus-4-6,1.0,0.0,207,2534
dim1_humaneval_HumanEval_61,train,code_generation,claude-sonnet-4-6,1.0,0.0,207,2261
dim1_humaneval_HumanEval_61,train,code_generation,gpt-5.4,1.0,0.0,193,2739
dim1_humaneval_HumanEval_61,train,code_generation,glm-5,1.0,0.0,606,11869
dim1_humaneval_HumanEval_61,train,code_generation,kimi-k2.5,1.0,0.0,193,3860
dim1_humaneval_HumanEval_61,train,code_generation,MiniMax-M2.7,1.0,0.0,717,24675
dim1_humaneval_HumanEval_61,train,code_generation,Qwen3-Max,1.0,0.0,254,7882
dim1_humaneval_HumanEval_61,train,code_generation,qwen3.5-plus,1.0,0.0,1155,17867
dim1_mbpp_69,train,code_generation,claude-opus-4-6,1.0,0.0,148,2725
dim1_mbpp_69,train,code_generation,claude-sonnet-4-6,1.0,0.0,606,7937
dim1_mbpp_69,train,code_generation,gpt-5.4,0.0,0.0,133,2346
dim1_mbpp_69,train,code_generation,glm-5,0.0,0.0,652,15252
dim1_mbpp_69,train,code_generation,kimi-k2.5,0.0,0.0,116,3023
dim1_mbpp_69,train,code_generation,MiniMax-M2.7,0.0,0.0,561,7626
dim1_mbpp_69,train,code_generation,Qwen3-Max,0.0,0.0,96,2445
dim1_mbpp_69,train,code_generation,qwen3.5-plus,0.0,0.0,3684,66426
dim1_bcb_BigCodeBench/574,train,code_generation,claude-opus-4-6,0.0,0.0,537,6082
dim1_bcb_BigCodeBench/574,train,code_generation,claude-sonnet-4-6,0.0,0.0,649,7126
dim1_bcb_BigCodeBench/574,train,code_generation,gpt-5.4,0.0,0.0,410,7245
dim1_bcb_BigCodeBench/574,train,code_generation,glm-5,0.0,0.0,2266,55362
dim1_bcb_BigCodeBench/574,train,code_generation,kimi-k2.5,0.0,0.0,420,15573
dim1_bcb_BigCodeBench/574,train,code_generation,MiniMax-M2.7,0.0,0.0,1196,15498
dim1_bcb_BigCodeBench/574,train,code_generation,Qwen3-Max,0.0,0.0,420,13853
dim1_bcb_BigCodeBench/574,train,code_generation,qwen3.5-plus,0.0,0.0,906,13685
dim1_mbpp_618,val,code_generation,claude-opus-4-6,0.0,0.0,203,4400
dim1_mbpp_618,val,code_generation,claude-sonnet-4-6,0.0,0.0,517,6586
dim1_mbpp_618,val,code_generation,gpt-5.4,0.0,0.0,97,2266
dim1_mbpp_618,val,code_generation,glm-5,0.0,0.0,1369,32474
dim1_mbpp_618,val,code_generation,kimi-k2.5,0.0,0.0,127,4445
dim1_mbpp_618,val,code_generation,MiniMax-M2.7,0.0,0.0,326,3163
dim1_mbpp_618,val,code_generation,Qwen3-Max,0.0,0.0,112,2884
dim1_mbpp_618,val,code_generation,qwen3.5-plus,0.0,0.0,4875,87065
dim1_bcb_BigCodeBench/690,train,code_generation,claude-opus-4-6,0.0,0.0,228,2756
dim1_bcb_BigCodeBench/690,train,code_generation,claude-sonnet-4-6,0.0,0.0,231,2278
dim1_bcb_BigCodeBench/690,train,code_generation,gpt-5.4,0.0,0.0,197,2981
dim1_bcb_BigCodeBench/690,train,code_generation,glm-5,0.0,0.0,1060,23840
dim1_bcb_BigCodeBench/690,train,code_generation,kimi-k2.5,0.0,0.0,201,4289
dim1_bcb_BigCodeBench/690,train,code_generation,MiniMax-M2.7,0.0,0.0,847,9171
dim1_bcb_BigCodeBench/690,train,code_generation,Qwen3-Max,0.0,0.0,199,4072
dim1_bcb_BigCodeBench/690,train,code_generation,qwen3.5-plus,0.0,0.0,1120,16475
dim1_mbpp_731,train,code_generation,claude-opus-4-6,0.0,0.0,112,2667
dim1_mbpp_731,train,code_generation,claude-sonnet-4-6,0.0,0.0,383,5415
dim1_mbpp_731,train,code_generation,gpt-5.4,0.0,0.0,98,3430
dim1_mbpp_731,train,code_generation,glm-5,0.0,0.0,752,23503
dim1_mbpp_731,train,code_generation,kimi-k2.5,0.0,0.0,212,8202
dim1_mbpp_731,train,code_generation,MiniMax-M2.7,0.0,0.0,236,3217
dim1_mbpp_731,train,code_generation,Qwen3-Max,0.0,0.0,97,2564
dim1_mbpp_731,train,code_generation,qwen3.5-plus,0.0,0.0,1124,21767
dim1_humaneval_HumanEval_54,val,code_generation,claude-opus-4-6,1.0,0.0,252,2109
dim1_humaneval_HumanEval_54,val,code_generation,claude-sonnet-4-6,1.0,0.0,252,2068
dim1_humaneval_HumanEval_54,val,code_generation,gpt-5.4,1.0,0.0,200,2551
dim1_humaneval_HumanEval_54,val,code_generation,glm-5,1.0,0.0,706,16883
dim1_humaneval_HumanEval_54,val,code_generation,kimi-k2.5,1.0,0.0,198,1733
dim1_humaneval_HumanEval_54,val,code_generation,MiniMax-M2.7,1.0,0.0,1253,15578
dim1_humaneval_HumanEval_54,val,code_generation,Qwen3-Max,1.0,0.0,203,2986
dim1_humaneval_HumanEval_54,val,code_generation,qwen3.5-plus,1.0,0.0,1582,23731
dim1_bcb_BigCodeBench/492,train,code_generation,claude-opus-4-6,0.0,0.0,577,5747
dim1_bcb_BigCodeBench/492,train,code_generation,claude-sonnet-4-6,0.0,0.0,624,5321
dim1_bcb_BigCodeBench/492,train,code_generation,gpt-5.4,0.0,0.0,561,6344
dim1_bcb_BigCodeBench/492,train,code_generation,glm-5,0.0,0.0,2248,49603
dim1_bcb_BigCodeBench/492,train,code_generation,kimi-k2.5,0.0,0.0,513,12678
dim1_bcb_BigCodeBench/492,train,code_generation,MiniMax-M2.7,0.0,0.0,1067,11376
dim1_bcb_BigCodeBench/492,train,code_generation,Qwen3-Max,0.0,0.0,497,14766
dim1_bcb_BigCodeBench/492,train,code_generation,qwen3.5-plus,0.0,0.0,5124,74588
dim1_bcb_BigCodeBench/924,train,code_generation,claude-opus-4-6,0.0,0.0,224,2945
dim1_bcb_BigCodeBench/924,train,code_generation,claude-sonnet-4-6,0.0,0.0,438,4014
dim1_bcb_BigCodeBench/924,train,code_generation,gpt-5.4,0.0,0.0,244,3738
dim1_bcb_BigCodeBench/924,train,code_generation,glm-5,0.0,0.0,1783,44826
dim1_bcb_BigCodeBench/924,train,code_generation,kimi-k2.5,0.0,0.0,260,5457
dim1_bcb_BigCodeBench/924,train,code_generation,MiniMax-M2.7,0.0,0.0,1224,14907
dim1_bcb_BigCodeBench/924,train,code_generation,Qwen3-Max,0.0,0.0,248,5208
dim1_bcb_BigCodeBench/924,train,code_generation,qwen3.5-plus,0.0,0.0,4432,78955
dim1_mbpp_567,train,code_generation,claude-opus-4-6,0.0,0.0,336,5474
dim1_mbpp_567,train,code_generation,claude-sonnet-4-6,0.0,0.0,427,6039
dim1_mbpp_567,train,code_generation,gpt-5.4,0.0,0.0,86,2824
dim1_mbpp_567,train,code_generation,glm-5,0.0,0.0,417,10152
dim1_mbpp_567,train,code_generation,kimi-k2.5,0.0,0.0,372,13276
dim1_mbpp_567,train,code_generation,MiniMax-M2.7,0.0,0.0,491,6307
dim1_mbpp_567,train,code_generation,Qwen3-Max,0.0,0.0,77,1526
