bench,task_id,qwen3.5-plus,qwen3.6-plus,kimi-k2.6,glm-5,MiniMax-M2.5,gpt-5.4-medium,claude-opus-4-6,claude-sonnet-4-6
featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,pass,pass,fail,fail,fail,pass,fail,fail
featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,fail,fail,fail,pass,pass,pass,fail,fail
featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,pass,pass,fail,pass,pass,pass,pass,pass
featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,fail,fail,fail,fail,fail,pass,fail,fail
featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,fail,pass,fail,pass,pass,pass,pass,fail
featurebench,astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,fail,pass,fail,pass,pass,pass,fail,fail
featurebench,astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,pass,pass,fail,pass,pass,pass,fail,fail
featurebench,astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,pass,pass,fail,pass,pass,pass,pass,fail
featurebench,astropy__astropy.b0db0daa.test_table.48eef659.lv1,pass,pass,fail,pass,pass,pass,pass,fail
featurebench,astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,pass,pass,pass,pass,pass,pass,pass,fail
featurebench,fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,pass,pass,fail,pass,pass,pass,pass,pass
featurebench,huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,pass,pass,pass,pass,pass,pass,pass,fail
featurebench,huggingface__transformers.e2e8dbed.test_modeling_swin2sr.f5cba486.lv2,pass,pass,pass,pass,pass,pass,pass,fail
featurebench,huggingface__transformers.e2e8dbed.test_modeling_vitpose.30ffd86e.lv2,pass,pass,pass,pass,pass,pass,pass,fail
featurebench,huggingface__transformers.e2e8dbed.test_modeling_vits.6379a2ba.lv2,pass,pass,fail,pass,pass,pass,pass,fail
featurebench,huggingface__trl.02a34777.test_data_utils.827a9d15.lv2,pass,pass,fail,pass,pass,pass,pass,pass
featurebench,linkedin__Liger-Kernel.c856fbab.test_fused_add_rms_norm.fecadbdf.lv1,pass,pass,fail,pass,pass,pass,pass,fail
featurebench,linkedin__Liger-Kernel.c856fbab.test_fused_linear_jsd.4bd46945.lv1,pass,pass,pass,pass,pass,pass,pass,fail
